"id";"mass..g.";"year";"reclat";"reclong"
1;4622;1880;50.775;6.08333
2;10945;1951;56.18333;10.23333
6;1452;1952;54.21667;-113
10;990;1976;16.88333;-99.9
370;11273;1902;-33.16667;-64.95
379;7668;1919;32.1;71.8
390;12224;1949;44.83333;95.16667
392;6460;1814;44.21667;0.61667
398;796;1930;-31.6;-65.23333
417;636;1920;-30.86667;-64.55
423;108;1974;16.39806;-9.57028
424;5186;1925;19.08333;8.38333
425;1;1769;50.66667;2.33333
426;11237;1949;29.51667;35.05
427;915;1838;29.71667;77.95
432;6113;1959;8.91667;8.43333
433;9087;1981;39.91667;42.81667
446;3087;1957;24.41667;39.51667
447;10820;2001;13.66033;28.96
448;9810;1806;44.11667;4.08333
453;3891;1766;44.65;11.01667
454;10203;1949;2;22.66667
458;5442;2002;45.82133;6.01533
461;10820;1835;51.78333;-1.78333
462;6171;1873;36.23333;37.13333
463;12196;1860;44.88333;8.75
465;12018;1900;50.95;31.81667
466;4995;1883;45.26667;10.15
2276;6726;1899;42.53333;-85.88333
2278;3892;1969;26.96667;-105.31667
48915;6345;2008;20.74575;32.41275
2284;9810;1977;35.27333;44.21556
2290;9845;1895;27.66667;78.25
2294;4220;1880;26.58333;85.56667
2295;6171;1898;44.61667;-70.75
2296;10059;1969;48.7;37.5
2298;3252;1939;20.88333;76.86667
2301;1;1822;47.46667;-0.55
2302;694;1869;-22.96667;-44.31667
2304;9855;1942;9.53333;39.71667
2305;4150;1971;25.15;105.18333
2313;6786;1984;40.81056;140.78556
2318;2730;1914;53.58333;-2.71667
2320;6171;1803;43.86667;5.38333
2325;11614;1954;-33;-66
2329;8846;1932;38.5;-94.3
2340;10641;1950;-31.41667;-60.66667
2345;8013;1805;42.45;9.03333
48954;12029;2009;31.805;-97.01
2346;489;1923;52.05;0.3
2353;3891;1886;43.03333;12.55
4883;472;1920;25.25417;80.625
4884;12331;1896;20.06667;-103.66667
4885;5647;1933;34.75;-87
4888;583;1945;34.31667;-96.15
4893;11561;1836;44.38333;5.16667
4899;9087;1865;36.16667;3.66667
4900;3891;1842;44.33333;3.23333
4903;9087;1858;43.08333;0.58333
4905;12022;1952;-21.46028;-49.95083
4906;419;1908;46;13.5
4907;2664;1855;25;-103.5
4910;2334;1968;2.71667;32.83333
4913;4253;1938;36.8;-108
4917;3456;1814;48.6;38
4922;1155;1934;28.48333;78.5
4925;6289;1929;35.96667;-82.48333
4926;7041;1922;34.5;-88.66667
4928;108;1907;5.38333;16.38333
4934;2991;1993;16.66667;101.18333
4935;1536;1871;-6.91667;107.6
4936;2730;1892;27.7;76.33333
4937;2453;1913;30.4;78.2
4938;10214;1933;-6.33333;106
4942;9845;1790;43.95;-0.05
4944;1;1704;41.36667;2.16667
4946;6171;1842;42.38333;-2.5
4947;5044;1904;52.73333;84.08333
4948;3237;1886;52;9.1
4949;7709;1910;31.61667;76.8
4954;8305;1965;52.56528;-1.33972
44876;5984;2006;15.78333;-5.9
4957;2738;1994;52.03333;20.93583
4974;4623;1892;45.41667;-98.31667
4975;11822;1902;38.25;-83.75
56133;4275;2012;40.66813;-117.18913
4976;740;1989;11.08333;-0.18333
4977;10122;1916;36.75;-93.5
4984;2975;1929;39.8;-101.2
4986;2454;1893;51.16667;-117.33333
4993;11328;1949;53.01667;-4.1
5005;7377;1961;33.6;-96.46667
5009;1;1937;-32.33333;-64.86667
5011;6289;1798;25.36667;82.91667
30443;5348;2004;32.25;-8.15
5018;3673;2001;32.86667;10.8
5021;901;1938;39.08333;-89.15
5023;6331;1943;-26.16667;28.41667
5024;8402;2002;30;-7
5026;4256;1949;45.95;-67.55
48975;5762;2008;-31.91;-58.32833
5028;3456;1924;11.65;-3.65
5029;636;1811;41.68333;-3.8
47355;12435;2004;40.30583;-105.02325
5032;2261;1859;42.53333;-73.83333
5034;3891;1859;43.21667;-0.23333
5035;245;1921;33.88333;35.5
5037;3455;1877;20.88333;74.83333
36591;10488;2002;26.50833;73.11528
5039;1291;1893;20.83333;71.46667
5040;176;1940;22.68333;90.65
5041;4150;1905;22.08333;86.9
5042;7614;1827;53.1;23.2
5043;982;1887;50.13333;27.16667
5045;5348;1999;12.45;-0.08333
5051;8745;1984;-33.15639;115.67639
5056;9579;1923;13.76667;5.3
5059;9810;1843;34.16667;-80.28333
5060;165;1895;25.38333;82.6
5063;947;1796;49.78333;30.16667
5064;6897;1899;60.4;25.8
5065;10833;1941;40.91667;-78.08333
5068;4091;1906;36.83333;-97.33333
5071;8850;1909;31.83333;-98.83333
5072;8626;1833;49.36667;16.63333
5076;10465;1938;40.48;-89.00417
5090;10646;1977;33.83333;115.83333
5093;9539;1804;23;-102
5097;11396;1962;12.5;0.7
5098;5485;1916;44.55;131.63333
5110;836;1808;44.86667;10.05
5111;11383;1894;21.95;78.03333
5112;536;1930;54.23333;52.48333
5113;10605;1852;48.15;24.28333
5114;9130;1812;55.46667;35.86667
5117;10133;1823;51.33333;33.88333
57168;3775;2003;17.71067;-11.3715
57167;6266;2011;17.17493;-11.34133
5121;8895;1969;54.56667;-6.33333
5128;11168;1886;40.5;-80.08333
5133;7511;1847;50.6;16.3
5134;694;1956;50.66694;8.18361
5135;10621;1855;53.4;9.1
5140;4815;1933;52.13333;59.31667
5156;6543;1960;53.9;-112.88333
30448;8876;2001;39.77978;64.60035
48653;6812;2007;-31.35;129.19
5165;7174;1942;10.01667;9.58333
5169;1972;1919;5;48
5175;698;1990;37.62194;-82.23722
5177;5348;1946;40.2;29.23333
5178;8836;1863;46.45;25.78333
5181;694;1852;26.78333;82.83333
5183;5981;1861;27.08333;84.08333
48654;8014;2008;52.996;-109.84817
5185;5348;1870;37.98333;-1.16667
5186;8674;1886;35.5;-93.5
5187;4740;1919;43.83889;20.33333
45976;8664;2007;3.405;-76.51
5200;4099;1916;11.75;122.33333
5249;5028;1991;-7.03333;-40.16667
5250;7614;1964;39.8;26.6
5251;12359;1861;41.25;1.66667
5252;6952;1866;43.38333;-5.15
5253;600;1973;38.47028;-105.24139
5260;4051;1846;37.26667;-89.58333
5264;11111;1934;-30.88333;-64.55
45817;7023;2007;-16.66444;-69.04389
5265;11341;1902;38.5;27
5291;10630;1874;36.08333;-78.06667
5292;1;1791;43.35;11.5
5293;12324;1848;44.38333;-68.75
5295;2730;1583;39.8;16.2
5296;556;1810;36.5;-79.25
5306;150;1988;26.46667;-105.23333
5307;8437;1956;43.2;-96.91667
5308;9852;1840;45.08333;8.3
5313;6289;1998;28.53333;109.31667
5314;54;1814;25.36667;81.66667
5315;11355;1907;25.85;83.48333
5316;3462;1933;-30.78333;-58.05
5320;11396;1838;20.26667;76.01667
5321;245;1885;27.28333;79.05
5322;921;1977;29.08333;111.75
5325;6611;1812;46.68333;1.05
5328;7678;1835;36.16667;-87.33333
5329;5686;1810;47.93333;1.56667
5330;1847;1834;29.48333;75.5
5331;7614;1815;47.71667;5.36667
5332;6460;1841;47.93333;2.91667
5334;4289;1925;41.93333;-7.46667
5338;4287;1988;-3.66667;32.5
57165;1292;2013;54.81667;61.11667
47347;1292;2007;23.69639;-5.01472
5339;9810;1964;53.7;30.1
5340;11371;1933;35.03333;-81.88333
5341;10833;1901;46.55;6.81667
5342;847;1939;50.83333;34
5344;10908;1880;14.5;76.5
5345;7275;1981;17.9;101.63333
5349;6542;1938;40.93333;-79.73333
5355;6342;1988;-10.05944;33.395
5356;1;1966;-17.35;13.96667
5357;7614;1978;47.47083;0.97667
5364;779;1979;-6.95;108.1
5374;655;1984;32.1025;-81.87278
5395;1388;1917;44.9;-90.28333
5397;8866;1838;-33.13333;19.38333
5401;8580;1994;43.76111;-84.50778
5403;8836;1890;42.53333;12.61667
5418;4406;1965;-19.85;-47.55
5451;381;1844;21.16667;-100.86667
5465;662;1917;10.2;76.26667
5470;11251;1936;35.95;-97.58333
5474;6277;1877;-27.7;27.3
5476;3196;1892;35.63333;-78.13333
5477;7671;1902;54.61667;-6.21667
5496;3238;1919;36.83333;-84.35
5500;9810;1877;38.4;-84.25
5504;3456;1981;35.61667;8.83333
5511;8919;1878;26.91667;83.96667
5513;201;1868;-28.2;24.56667
5514;3891;1868;34.4;-87.06667
6603;1291;1804;49.86667;8.65
6604;10605;1998;41.98444;59.685
51559;9864;2008;-1.87089;-79.95756
6621;7009;1887;43;-80
6634;5836;1829;40.25;-74
6642;85;1897;28.56667;77.25
6649;2985;1911;51.46667;84.76667
6660;5096;1967;39.7825;-104.93056
6664;1857;2001;26.68333;93.86667
6693;5354;1962;25.73333;73.61667
6694;1847;2001;19;81
6696;300;1994;24.225;76.525
6698;8402;1976;22.37778;71.42722
6699;915;1848;14.88333;75.6
7640;6726;1860;32.23333;76.46667
47350;6213;2007;37.35172;27.32997
7642;108;1906;-33.75;18.56667
7649;7956;1957;-31.88333;-60.46667
7652;3182;1884;-7.5;111.5
7656;6345;1961;12.73333;15.05
7657;1141;1999;36.95;9.55
7658;6321;1903;23.5;90.33333
7659;779;1864;50.75;25.3
7661;8294;1907;40;29
7706;2114;1995;45.5;119.03333
7707;5096;1899;21.86667;82.45
7708;8902;1970;32.91667;120.78333
7718;6333;1805;51.2;112.3
7722;444;1962;13.05;3.16667
7723;324;1932;32.33333;-6.3
7725;10303;1976;-13.66667;33.91667
7728;8836;1827;36.4;-86.5
7731;8586;1939;42.52;-82.26
7736;982;1951;42.45833;18.44167
7743;6459;1999;-31.66667;152.83333
7745;4037;1865;52.55;-8.03333
7749;1;1976;43.33333;128.25
7750;2155;1815;30.3;76.63333
7752;9668;1853;-4;39.5
7754;3958;1943;33.43333;127.26667
7755;6177;1970;-27.2;31.31667
7757;6523;1872;26.25;82
7758;3640;1933;-3;151
7760;1141;1947;40.78167;-96.47167
7774;4099;1961;-17.3;15.83333
7775;6113;1785;48.9;11.21667
7776;6202;1939;56.03333;13
7777;11751;1916;28.26667;78.78333
7807;1141;1989;34.41667;3.25
45977;3241;1977;25.37;-97.37
7819;8836;1993;19.96722;-103.05167
7822;10532;1998;39.24667;-104.58817
7823;1452;1399;50.18333;12.73333
7824;9401;1951;47.83333;37.66667
10019;670;1925;51.75;4
10033;2095;1900;-29.46667;151.61667
10038;11342;1974;30.3;109.5
10039;2096;1491;47.86667;7.35
10041;5819;1822;48.18333;6.46667
10042;1713;1940;19.03333;81.89167
10043;1456;1911;40.3;44.5
10044;4403;1889;1.16667;44.16667
10049;4032;1812;52.21667;11.25
10051;694;1837;46.25;-1.1
10055;9130;1957;2.88333;30.83333
10059;6787;1879;43.41667;-94.83333
10074;11951;1890;39.75;-97.03333
10075;9540;1934;35.55;-77.53333
10078;694;1844;44.38333;2.81667
10079;4078;1934;36.05;-94.16667
10080;7452;1875;36.88333;8.45
10081;6171;1900;32.53333;-87.16667
10086;11638;1924;34.6;116.75
10088;4902;1889;36.1;-81.41667
10091;1150;1996;43.18111;13.75333
10107;3246;1894;47.81667;-96.85
10111;6275;1922;30.83333;-97.76667
10119;2868;1890;43.25;-93.66667
10120;5519;1942;-33.35;146.85833
10123;9816;1924;36.78333;-78.08333
10163;5265;1900;50.95;7.31667
10164;2983;1829;33.01667;-83.96667
10166;1;1944;28.25;7
10177;10361;1868;34.48333;-87.83333
52412;5018;1945;31.47556;113.56694
10836;1541;1882;33.18333;130.2
10838;1;1654;55.33333;10.33333
10839;7614;1822;25.95;80.81667
10840;4150;1977;32.9;115.9
10846;2315;1826;44.3;0.4
10848;7195;1952;7.05;12.43333
10849;5836;1952;7.05;12.43333
10850;8836;1995;51.68333;30.78333
10851;9845;1897;27.35;68.53333
10854;1;1960;11.65;-2.18333
10860;7452;1917;27.88333;68.53333
10861;1342;1950;41.68333;-112.13333
44882;7651;1984;12.85;11.03333
10866;1;2000;14.15083;-2.04167
10870;10956;1950;12.91667;11.91667
10914;2461;1909;35.53333;136.88333
10917;3456;1853;37.31667;13.56667
10919;8713;1947;9.6;9.91667
10923;10470;1990;52.2;6.86667
10924;492;1939;-7.25;107.7
10926;2868;1918;57.35;37.61667
10930;11178;1991;52.45972;-0.3
10936;888;1879;50.66667;16.76667
10948;779;1865;24.23333;89.05
10949;6269;1974;48.28333;38.08333
10956;12000;1964;42.9;2.25
11196;8430;1976;60.66667;11
50911;4775;2009;43.2;-79.61667
11206;6239;1861;43.66667;45.38333
11207;1160;1837;49.26667;18.71667
11208;11342;1881;46.35;30.58333
11426;108;1841;51.93333;15.5
11429;10582;1910;52.86667;16.63333
11432;4825;1932;-33;-58.61667
11435;4280;1996;39.80417;122.76389
11436;1;1983;24.1;105
11437;982;1980;37.1;118.4
11439;7511;1892;38.73333;-6.01667
11440;991;1891;43.76667;20.23333
11442;5962;1972;13.5;-0.68333
11443;12449;1949;9.91667;13.98333
11448;4125;1982;22.98333;76.05
11449;1292;1984;11.49167;11.65833
11450;8924;1904;42.9;24.7
11464;5836;1814;13.78333;78.56667
11465;6957;1981;9.36667;42.41667
11466;108;1851;51.91667;8.38333
11467;516;1930;35;127.5
11468;23;1817;35.65;139.33333
11472;12000;1934;50.31667;3.73333
11479;656;1944;57.81667;16.23333
11485;6291;1959;41.38333;-86.6
11824;108;1878;26.8;82.53333
11829;6701;1921;28.38333;75.78333
11830;11368;1961;32.675;-94.51167
11842;10531;1859;38.25;-86.16667
11848;263;1910;35.2945;136.70033
11852;444;1890;28.95;0.81667
11855;5981;1628;51.65;-1.51667
11859;727;1971;60.24556;22.06194
11869;6239;1922;55.46667;13.78333
11870;9818;1910;27.33333;35.66667
11875;108;1857;10;-84.1
11878;4403;1869;59.85;17.66667
11883;11111;1897;33.6;130.43333
11884;7709;1804;55.9;-4.23333
11889;8083;2003;34.45;132.38333
44714;3208;2003;1.345;31.47278
11893;6567;1954;64.43333;21.2
11894;4903;1912;34.9;-110.18333
11895;614;1923;9.06667;38.41667
11901;5097;1875;41.8;-91.86667
11904;4109;1825;21.3;-157.86667
11913;3553;1956;35.66667;115.5
11915;5656;1963;39.35;-100.45
11916;8753;1751;46.1;16.33333
54719;779;2010;26.46469;106.63241
11986;1691;1877;50.3;8.91667
11989;2454;1901;61.18333;22.68333
11992;3891;1870;52.28333;7.7
11993;4150;1957;-20;-45
11994;1;1949;38;35
11995;6353;1936;58.2;82.93333
12000;6231;1956;-32.1;28.33333
12003;381;1977;-23.2;-51.83333
12004;10633;1975;-6.03333;145.36667
12027;5686;1891;39.75;46.66667
12028;11929;1917;39.08333;-94.4
12037;6113;1963;41;112
12039;7722;1977;53.415;-111.3375
12043;10605;1972;-25.5;-54.5
12049;489;1954;-8.93333;33.8
12053;6129;1928;-31.18333;-57.95
12056;3909;1879;-3.4;-44.33333
12058;7746;1990;26.59083;-12.95217
12063;10832;1938;-8.41667;32.43333
12065;8671;1903;-32.5;21.9
12067;12489;1926;26.75;68.41667
12069;1020;1621;31;75
12072;4824;1866;18.75;75.33333
12074;4409;1979;39.7;105.8
12078;6952;1889;43.83333;20.44167
51589;6281;2009;46.42137;14.05217
12085;8947;1873;31.3;72.38333
12086;4926;1964;31.91667;104.91667
12087;10060;1890;30.80833;109.5
12171;7615;1976;44.05;126.16667
47362;1291;2006;22.68;70.31333
12173;6459;1877;55.7;24.4
12198;7894;1924;40.35;-104.9
12199;8723;1974;-11.85;15.83333
12202;8836;1819;45.43333;-0.45
12203;1292;1997;35.5;115.41667
12207;10531;1876;12.85;76.8
12209;6729;1984;-7.71667;111.2
12210;12390;1976;35.2;118.8
12213;5351;1968;38.74028;-7.27
12214;12201;1821;44.71667;4.3
12218;6113;1857;47.35;21.3
12220;2157;1971;11.85;8.21667
12221;11949;1822;27.08333;78.33333
12222;5096;1838;27.25;79.96667
12227;982;1908;49.86667;30.83333
12228;3891;1980;15;48.3
12229;4506;1937;55.43333;53.25
12230;7124;1890;12.38333;78.51667
12231;9668;1858;45.13333;21.66667
12232;12390;1951;-6.83333;29.5
12236;7709;1879;17.83333;73.98333
12238;4241;1942;26.03333;81.46667
12240;8398;1913;36.04167;139.95667
12241;482;1902;14.18333;75.8
12243;6107;1959;31.6;65.78333
12245;804;1908;-7;115.5
12246;7956;1897;32.08333;76.3
12251;1527;1942;4.7;33.63333
47357;779;2004;20.33916;73.22329
12253;6239;1937;42.45;73.36667
12256;6113;1840;47.21667;81.01667
12258;4015;1963;-3.5;35.58333
12260;3553;1949;12.9;7.15
12262;4825;1905;27.8;67.16667
12263;4290;1955;31.58333;71.6
12264;8019;1930;-35.08333;139.91667
12266;10877;1938;35.36667;136.76667
30740;2993;2003;29.58333;77.58333
35465;694;1999;11.33333;10.08333
47351;9881;2006;25.14333;75.81333
12268;11774;1961;39.26333;31.78
12270;6194;1940;-7.75;112.01667
53654;8933;2008;36.54194;29.41822
12275;9893;1939;29.45;-96
12276;9870;2003;20.4625;86.70278
12282;8836;1874;48.4;-3.3
12284;11533;1869;48.11667;-3.08333
12286;2356;1850;38.98333;141.61667
12288;2160;1873;29.53333;72.3
12289;6288;1932;25.55;83.11667
12291;694;1787;50.625;35.075
12294;8449;1860;26.95;77.88333
12296;1291;1867;28.01667;75.81667
12297;9819;1929;56.75;75.33333
12298;12037;1910;25.1;81.53333
12299;6171;1932;16;36
12300;1292;1983;14;28
12301;11021;1962;54.4;10.15
12303;694;1970;16.58333;-11.33333
12305;6903;1906;36.85;138.38333
12306;3835;1809;55;34
12307;3673;2002;12.76667;9.8
12308;11222;1911;43.58333;-89.6
12309;2564;1844;54.66667;-7.66667
12316;10450;1967;11.63333;24.68333
12321;12480;1906;30.75;-95.95
12325;732;1914;48.16667;22.30833
12326;4538;1998;43.38333;-80.38333
12332;6182;1843;51.6;10.8
12335;9131;1866;48.9;22.4
12336;2376;1999;34.73333;135.16667
12342;1537;1986;34.3;133.95
12343;5168;1926;35.73333;139.75
12344;12161;1931;42.51667;26.16667
53810;7678;2010;48.76367;21.17633
12353;2986;1869;49.32694;7.46472
12355;4120;1829;54.03333;40.9
12357;7614;1946;54.33333;56.08333
12363;11762;1906;56.8;77
12364;9087;1946;47.83333;30.76667
12368;4032;1938;51.15;31.7
12369;8469;1961;30.73111;66.80222
12370;9810;1811;50.75;33.5
12373;6293;1906;41.11667;45
12377;4506;1949;55.78333;61.36667
12379;246;1998;42.25;59.2
12381;7705;1920;37.05;138.38333
12382;8835;1860;29.68333;78.38333
12383;5017;1977;44.51667;39.3
12384;8402;1914;10.83333;76.03333
12385;7627;1932;55.2;75.33333
12390;8402;1886;32.03333;130.63333
12392;4247;1879;47.08333;1.75
12394;7610;1878;20.66667;-101.28333
12395;3891;1924;-37.33333;-61.53333
12396;8402;1985;-31.23333;-58.16667
12408;6319;1871;44.28333;5.58333
12433;12179;1955;26.78333;82.71667
12434;7292;1803;48.76667;0.63333
12435;4747;1910;21.86667;76.03333
12451;7357;1887;24.45;78.56667
12455;9167;1872;47.7;1.06667
12456;10605;1897;43.75;5.11667
12461;4051;1947;58.85;16.73333
12464;474;1986;46.24167;126.19611
12465;10605;1925;47.75;16.23333
12466;2459;1987;33.13333;115.16667
12740;197;1830;51.9;-1.11667
12743;11561;1938;52.45;51.56667
12748;6113;1845;47.16667;0.43333
12749;11273;1845;48.53333;-0.86667
12755;9166;1943;35.88333;-99.33333
12756;8549;1912;-25.66667;28.36667
12759;5771;1999;52.66667;-6.96667
12760;11887;1907;34.58333;-87.5
12765;10820;1900;52.26667;32.85
12769;2064;1857;48.35;3.25
12772;3891;1896;50.36667;4.73333
14646;7614;1973;-26.15;26.18333
14650;9885;1930;56.65;15.86667
14652;9087;1813;52.56667;-8.78333
14655;958;1854;52.75;12.9
14659;8828;1978;31.63333;118.98333
14661;1864;1808;50.2;14.85
14664;8800;1839;37.91667;-92.08333
14670;8869;1820;56;26.43333
14675;108;1868;29.53333;71.8
14678;7893;1994;26.96556;72.62667
52843;6843;2010;38.70066;-77.21163
14708;5347;1894;38;-0.83333
14711;3238;1970;36.00833;-95.15
14716;489;1977;38.25;-85.75
14718;9754;1935;52;19.91667
14721;12016;1926;24.95;75.15
14724;6239;1768;47.85;0.48333
14753;7009;1869;32.03333;-84.76667
14754;4164;1980;24.8;103.3
14755;1516;1889;56.21667;13.03333
14756;11941;1813;61.2;27.7
14757;2454;1753;46.21667;5
14759;1;1951;-7.21667;29.43333
14764;9439;1937;19;97
15370;694;1836;-5.2;-36.66667
15371;12287;1981;-15.21222;35.24222
15372;1034;1936;-28.83333;31.95
15379;108;1950;25.91667;86.36667
15380;7956;1935;-7.75;111.53333
15382;7956;1896;40.41667;-3.71667
15383;10059;1941;-26.16667;-49.93333
15386;8836;1899;37.86667;27.51667
15387;10432;1990;-19.48333;31.65
47361;10789;2007;27.66667;95.78333
30751;7732;2004;12.83333;9.38333
15393;2837;1933;32.21667;-104
15394;3891;1970;9.5;31.75
15395;8626;1930;-3.13333;33.51667
15397;1;1931;-28.93333;-63.23333
15400;11575;1933;-29.45;26.76667
15401;108;1927;45.21667;62.08333
15402;847;1863;23.05;86.7
15403;9086;1843;20.96667;76.1
15405;4829;1934;-17.65;31.6
15409;6258;1951;45.81667;44.63333
15414;7709;1948;34.23333;72.08333
15419;7009;1898;42.71667;-99.38333
48973;5409;2009;54.76183;11.46745
15421;6171;1941;4.66667;29.25
15422;4150;1971;-22.25;-49.93333
15424;5840;1847;41.9;-91.6
15426;8402;1902;61.5;30.5
15429;6113;1848;44.5;0.15
15430;9810;2002;-14.2;48.1
15436;639;1983;35.8;-84.1
15438;108;1836;45.36667;1.86667
15443;779;1803;48.13333;12.61667
15446;3673;1768;48.18333;13.13333
15447;4902;1801;-20;57
15451;7769;1974;8.96667;12.08333
15453;7614;1885;24.68333;-101.68333
15454;7786;1942;-1.21667;30
15455;2838;1992;1.06667;34.16667
15467;6609;1953;-27.25;-67.5
15469;4824;1861;29.01667;77.8
15470;5193;1915;-6.23333;106.88333
15485;1160;1862;53.18333;13.15
15486;5894;1903;46.81867;7.21817
15489;7614;1878;55.05;12.06667
15492;10847;1920;25.48333;81.98333
15495;4101;1955;38.18333;15.56667
16626;11879;1897;50.58333;11.1
16627;489;1949;45.76667;3.25
16628;4832;1852;46.5;25.73333
16629;7124;1827;25.9;83.61667
16631;245;1980;34.8;111.7
16632;779;1881;54.56667;-1.16667
52090;6263;2010;42.9075;-90.36556
16634;11342;1889;48.06667;30.96667
16635;9844;1992;35.56833;133.22
16636;4950;1944;46.23333;17.53333
16640;1141;1842;46.18333;16.1
16643;6897;1960;-26.45;120.36667
16645;2991;1930;35.4;-92.05
16692;167;1632;35.07833;136.93333
16696;8114;1826;37.28333;14.7
16697;8902;1952;32.33333;120.66667
16700;9513;1905;47.7;16.6
16701;11378;1910;25.68333;83.25
16703;8935;1890;56.66667;23
16707;1310;1898;61.73333;5.93333
16709;6524;1882;46.8;24.03333
16711;7065;1905;38.5;-101.1
16713;7709;1908;-39.63333;174.4
16715;2636;1858;38.11667;-1.16667
16717;2837;1953;-31.25;26.46667
16719;4190;1998;31.60833;-102.85833
16720;11383;1849;35.25;-80.5
16725;7773;1950;38.01667;-8.25
16726;6153;1846;43.26667;13.35
16727;2714;1923;43.39056;1.9625
16729;9130;1838;47.63333;1.58333
16733;1;1950;-15.96667;27.35
16736;970;1913;35.41667;-79.38333
16737;6244;1810;52.45;-8.33333
16738;11404;1930;-40.975;145.6
16740;10787;1808;28.78333;78.83333
16742;10256;2000;49.6;18.53333
16747;489;1875;44.6;5.13333
36592;6301;2006;59.43333;10.7
16759;694;1868;26.83333;77.33333
16762;12009;1868;45.2;8.5
16766;1524;1902;-29.8;141.7
16804;1651;1991;18.7;4.8
16805;3238;1637;44.08333;6.86667
16820;245;1944;-11.5;33.5
16841;7694;1865;12.63333;77.01667
